APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Ibáñez;Matías;San Lorenzo;ARQ;3000000
Ibáñez;Nelson;Godoy Cruz;ARQ;4200000
Iberbia;Raúl;Estudiantes;DEF;3800000
Insaurralde;Cristian;Quilmes;DEL;400000
Insúa;Emanuel;Godoy Cruz;DEF;500000
Insúa;Federico;Vélez;VOL;6000000
Isnaldo;Eugenio;Newell's;VOL;400000
Itabel;Kevin Fabián;Tigre;VOL;600000
Izquierdoz;Carlos;Lanús;DEF;3700000
Iñiguez;Gaspar;Argentinos;VOL;3000000
Janson;Lucas;Tigre;DEL;400000
Jara;Diego;Unión;DEL;3700000
Jara;Franco;San Lorenzo;DEL;7000000
Jara;Leonardo;Estudiantes;VOL;2200000
Jerez;Luis;Godoy Cruz;VOL;2500000
Juárez;Iván;Rafaela;VOL;3000000
Kalinski;Enzo;San Lorenzo;VOL;4200000
Kannemann;Walter;San Lorenzo;DEF;2800000
Kim;Gwi Hyeon;Vélez;VOL;300000
Kruspzky;Lucas;Arsenal;DEF;1300000
Laba;Matías;Argentinos;VOL;3300000
Landa;Lucas;San Martín SJ;DEF;3900000
Lanzini;Manuel;River;VOL;5000000
Ledesma;Cristian;River;VOL;3300000
Ledesma;Eduardo;Godoy Cruz;VOL;3500000
Ledesma;Pablo;Boca;VOL;5500000
Leguizamón;Leandro;Tigre;DEL;1200000
Leguizamón;Luciano;Independiente;DEL;7000000
Lema;Cristian;Quilmes;DEF;1900000
Leone;Ramiro;Tigre;VOL;3900000
Lepe Gil;Franco;San Martín SJ;DEF;400000
Lequi;Matías;All Boys;DEF;3000000
Lértora;Federico;Godoy Cruz;VOL;2900000
Lescano;Juan Carlos;River;DEL;1200000
Leyenda;Bernardo;All Boys;ARQ;1200000
Lima;Pablo;Quilmes;DEF;3000000
Limia;Alejandro;Unión;ARQ;3500000
Lluy;Braian;Racing;DEF;2200000
Lollo;Luciano;Belgrano;DEF;2700000
López;Gastón;Quilmes;VOL;300000
López;Jonathan;Rafaela;DEL;2500000
López;Lisandro;Arsenal;DEF;6800000
López;Miguel;Quilmes;VOL;2400000
López;Sergio;Godoy Cruz;VOL;1900000
López;Víctor;Newell's;DEF;4800000
Lugarzo;Leandro;Arsenal;DEF;400000
Lugo;Maximiliano;Unión;DEF;1800000
Lugüercio;Pablo;Arsenal;DEL;4000000
Luna;Carlos;River;DEL;9900000
Luna;Jorge;San Martín SJ;VOL;2500000
Luna;Sebastián;San Lorenzo;DEF;2500000
Luque;Carlos;Colón;DEL;2500000
Machin;Christian;Rafaela;DEF;2800000
Machín;Gastón;Rafaela;VOL;3200000
Machuca;Alexis;Newell's;DEF;2300000
Magallán;Lisandro;Boca;DEF;3000000
Maggiolo;Ezequiel;Tigre;DEL;4400000
Magnín;Pablo;Unión;DEL;1700000
Maidana;Jonatan;River;DEF;4200000
Maidana;Mauro;Unión;DEF;1900000
Mancuello;Federico;Independiente;VOL;3000000
Mandarino;Germán;Quilmes;VOL;2600000
Manera;Rodrigo;Rafaela;ARQ;400000
Mansanelli;César;Belgrano;VOL;4000000
Mansilla;Jacobo;Quilmes;VOL;3200000
Marchesín;Agustín;Lanús;ARQ;5000000
Marcone;Iván;Arsenal;VOL;3900000
Márquez;Fernando;Belgrano;DEL;2000000
Martín;Juan;Belgrano;DEL;2800000
Martínez V.;Nicolás;All Boys;DEL;400000
Martínez;Damián;San Lorenzo;DEF;2000000
Martínez;Francisco;All Boys;DEF;1000000
Martínez;Matías;Racing;DEF;4000000
Martínez;Nicolás;Tigre;DEF;1300000
Martínez;Román;Estudiantes;VOL;7500000
Martínez;Sebastián;Quilmes;DEF;3500000
Mas;Emmanuel;San Martín SJ;DEF;3300000
Mastrolía;Ezequiel;San Lorenzo;ARQ;500000
Masuero;Abel;San Lorenzo;DEF;2900000
Matellán;Aníbal;Argentinos;DEF;4000000
Mateo;Diego;Newell's;VOL;4000000
Matos;Mauro;All Boys;DEL;5800000
Mattia;Francisco;San Martín SJ;DEF;1500000
Mattos;Pablo;Quilmes;VOL;1500000
Mazacotte;Ricardo;Unión;DEF;3000000
Mehrig;Andrés;Colón;ARQ;500000
Melano;Lucas;Belgrano;DEL;1000000
Melillo;Ezequiel;Racing;VOL;1200000
Mendoza;Arturo;Argentinos;VOL;400000
Menossi;Lucas;Tigre;VOL;500000
Mercado;Gabriel;River;DEF;5000000
Mercier;Juan;San Lorenzo;VOL;5500000
Meza;Fernando;San Lorenzo;DEF;3000000
Migliónico;Leonardo;Racing;DEF;3500000
Migliore;Pablo;San Lorenzo;ARQ;4500000
Míguez;Pablo;Unión;VOL;3100000
Miranda;Braian;Argentinos;VOL;300000
Modón;Sergio;Estudiantes;DEF;900000
Monserrat;Fabián;Independiente;VOL;2500000
Montero;Fausto;Unión;VOL;3000000
Montero;Maximiliano;Tigre;DEF;2300000
Montoya M.;Santiago;All Boys;VOL;300000
Montoya;Germán;Vélez;ARQ;4400000
Mora;Rodrigo;River;DEL;3400000
Morales;Matías;Quilmes;VOL;300000
Morel Rodríguez;Claudio;Independiente;DEF;4500000
Morel;Martín;All Boys;VOL;4000000
Moreno y Fabianesi;Iván;Colón;VOL;5000000
Moreno;Emanuel;Unión;VOL;1100000
Moyano;Gabriel;Godoy Cruz;VOL;700000
Moyano;Sebastián;Godoy Cruz;ARQ;500000
