Buffarini;Julio;San Lorenzo;VOL;5500000;2;;;;;
Hauche;Gabriel;Racing;DEL;5500000;2;;;;;
Migliore;Pablo;Argentinos;ARQ;5500000;2;;;;;
Ortiz;Fernando;Racing;DEF;5500000;2;;;;;
Ponzio;Leonardo;River;VOL;5500000;2;;;;;
Sosa;Sebastian;Velez;ARQ;5500000;2;;;;;
Desabato;Leandro;Estudiantes;DEF;5400000;2;;;;;
Carbonero;Carlos;River;VOL;5300000;2;;;;;
Forlin;Juan;Boca;DEF;5300000;2;;;;;
Izquierdoz;Carlos;Lanus;DEF;5300000;2;;;;;
Olave;Juan Carlos;Belgrano;ARQ;5300000;2;;;;;
Donatti;Alejandro;Rosario Ctral.;DEF;5200000;2;;;;;
Farre;Guillermo;Belgrano;VOL;5200000;2;;;;;
Lopez;Victor;Newell's;DEF;5200000;2;;;;;
Papa;Emiliano;Velez;DEF;5200000;2;;;;;
Rolle;Martin;Arsenal;VOL;5200000;2;;;;;
Fernandez;Jose Luis;Godoy Cruz;VOL;5100000;2;;;;;
Figueroa;Victor;Newell's;VOL;5100000;2;;;;;
Guzman;Nahuel;Newell's;ARQ;5100000;2;;;;;
Mas;Emmanuel;San Lorenzo;DEF;5100000;2;;;;;
Blanco;Ismael;Lanus;DEL;5000000;2;;;;;
Braghieri;Diego;Arsenal;DEF;5000000;2;;;;;
Cáceres;Marcos;Newell's;DEF;5000000;2;;;;;
Camoranesi;Mauro;Racing;VOL;5000000;2;;;;;
Castro;Alexis N.;Newell's;VOL;5000000;2;;;;;
Encina;Hernan;Rosario Ctral.;VOL;5000000;2;;;;;
Rodriguez;Patricio;Estudiantes;VOL;5000000;2;;;;;
Tobio;Fernando;Velez;DEF;5000000;2;;;;;
Cahais;Matias;Racing;DEF;4900000;2;;;;;
Ferrari;Paulo;Rosario Ctral.;DEF;4900000;2;;;;;
Velazquez;Jorge;Belgrano;VOL;4900000;2;;;;;
Viola;Valentin;Racing;DEL;4900000;2;;;;;
