3;Diego Villar;41;2
1;Pablo Bangardino;41;1
2;Raúl Albornoz;41;1
2;Hugo Iriarte;41;1
2;Milton Casco;41;1
3;Lucas Castro;41;1
3;Sebastián Romero;41;2
4;José Vizcarra;41;1
3;Esteban González;41;1
4;Juan Neira;41;1
3;Fabián Rinaudo;41;2
4;Denis Stracqualursi;41;2
4;Néstor Martinena;41;1
2;Facundo Imboden;41;1
3;Hernan Encina;41;1
2;Dardo Miloc;41;1
1;Fernando Monetti;41;1
4;Gastón Casas;41;1
2;Rubén Maldonado;41;1
4;Marco Pérez;41;1
2;Israel Roldán;41;1
2;Joel Carli;41;1
4;Facundo Quiroga;41;1
4;Álvaro Navarro;41;1
1;Nelson Ibáñez;40;2
2;Leonardo Sigali;40;1
3;David Ramírez;40;1
3;Carlos Andrés Sánchez;40;1
3;Nicolás Olmedo;40;1
2;Lautaro Formica;40;1
4;Federico Higuaín;40;1
4;Daniel Vega;40;1
4;Cristian Chávez;40;1
4;César Carranza;40;2
1;Cristian Aracena;40;1
2;Sebastián Martínez;40;1
2;Francisco Dutari;40;1
4;Jesús Vera;40;1
3;Federico Villegas;40;1
4;Jairo Castillo;40;2
3;Martín Aguirre;40;1
3;Leandro Torres;40;1
2;Zelmar García;40;1
1;José Ramírez;40;1
3;Ariel Rojas;40;1
4;Rodrigo Salinas;40;1
2;Cristian Cuevas;40;1
2;Jorge Curbelo;40;1
3;Alejandro Camargo;40;1
2;Nicolas Triviño;40;1
4;Maximiliano Alaniz;40;1
1;Sebastian Torrico;40;1
2;Darío Salomón;40;1
3;Sergio Daniel Sánchez;40;1
3;Paul Martín;40;1
3;Gabriel Moyano;40;1
1;Sebastián Moyano;40;1
2;Paolo Goltz;32;2
2;Pablo Jerez;32;1
3;Gastón Esmerado;32;1
2;Ezequiel Filippetto;32;1
4;Andrés Franzoia;32;2
3;Leandro Díaz;32;2
4;Gustavo Balvorín;32;1
3;Alan Sánchez;32;1
3;Adrián Peralta;32;1
1;Lucas Calviño;32;1
2;Franco Chiviló;32;1
3;Juan Carrizo;32;1
2;Kevin Cura;32;1
4;Federico Laurito;32;1
3;Gastón Machín;32;1
3;Patricio Toranzo;32;2
4;Leandro Benegas;32;1
2;Diego Rodríguez;32;1
2;Gonzalo García;32;1
1;Gaston Monzón;32;2
4;Luciano Nieto;32;1
2;Eduardo Domínguez;32;1
3;Christian Ortiz;32;1
4;Gino Clara;32;1
4;Julián Bottaro;32;1
4;Alejandro Quintana;32;1
4;Guilllermo Roffés;32;1
2;Lucas Mareque;39;2
2;Luciano Vella;39;1
3;Walter Acevedo;39;2
2;Eduardo Tuzzio;39;2
3;Walter Busse;39;2
3;Lucas Pusineri;39;1
4;Leonel Nuñez;39;1
3;Patricio Rodríguez;39;2
4;Andrés Silvera;39;2
1;Adrián Gabbarini;39;2
2;Julián Velázquez;39;1
2;Lucas Kruspzky;39;1
3;Fernando Godoy;39;1
4;Federico Gonzalez;39;1
4;Darío Gandín;39;3
4;Martín Gómez;39;1
1;Diego Rodríguez;39;1
3;Ignacio Piatti;39;2
3;Mariano Berriex;39;1
2;Carlos Matheu;39;2
2;Samuel Cáceres;39;1
2;Leonel Galeano;39;2
3;Federico Mancuello;39;1
3;Sergio Vittor;39;1
1;Hilario Navarro;39;1
3;Ivan Perez;39;1
4;Brian Nieva;39;1
3;Roberto Vissio;39;1
3;Héctor Echagüe;39;1
4;Nicolás Mazzola;39;1
3;Hernán Fredes;39;1
2;Ángel Puertas;39;1
2;Juan Caracoche;39;1
3;Fernando Perez;39;1
4;Pablo Vitti;39;1
4;Jose Moreno;39;1
2;Carlos Báez;39;1
3;Leandro Gracián;39;2
1;Agustín Marchesín;31;1
2;Carlos Quintana;31;1
2;Maximiliano Velázquez;31;2
2;Hernán Grana;31;1
3;Matías Fritzler;31;2
2;Jadson Viera Castro;31;2
4;Santiago Biglieri;31;1
3;Agustín Pelletieri;31;2
4;Cristian Menéndez;31;1
3;Sebastián Blanco;31;3
4;Gonzalo Castillejos;31;2
3;Eduardo Ledesma;31;1
1;Esteban Andrada;31;1
4;Santiago Salcedo;31;2
1;Mauricio Caranta;31;2
4;Diego Bielkiewicz;31;1
2;Santiago Hoyos;31;1
3;Diego Lagos;31;2
2;Emir Faccioli;31;1
3;Marcos Aguirre;31;2
2;Leonel Pérez;31;1
4;Roberto Dovetta;31;1
2;Carlos Arce;31;1
4;Eric Aparicio;31;1
2;Iván Macalik;31;1
2;Ariel Alarcón;31;1
1;Jorge Pucheta;31;1
4;Javier Arias;31;1
3;Gonzalo Díaz;31;1
3;Diego González;31;1
2;Luciano Balbi;31;1
2;Maximiliano Lugo;31;1
3;Mario Zaninovic;31;1
2;Rodrigo Erramuspe;31;1
3;Guido Pizarro;31;1
1;Sebastián Peratta;30;2
2;Alexis Machuca;30;1
2;Juan Quiroga;30;1
2;Agustin Alayes;30;2
3;Diego Mateo;30;2
2;Rolando Schiavi;30;3
3;Lucas Bernardi;30;2
3;Franco Dolci;30;1
4;Cristian Nuñez;30;1
3;Mauro Formica;30;3
4;Diego Torres;30;1
1;Lucas Hoyos;30;1
3;Mauricio Sperdutti;30;1
2;Nahuel Roselli;30;1
3;Marcelo Estigarribia;30;1
4;Jorge Achucarro;30;2
3;Cristian Sanchez Prette;30;2
3;Hugo Barrientos;30;1
4;Joaquín Boghossian;30;3
3;Leonel Vangioni;30;2
2;Leandro Benitez;30;1
4;David Hernandez Valdez;30;1
4;Emanuel Dening;30;1
3;Alejandro Cascio;30;1
2;Juan Manuel Insaurralde;30;3
2;Ignacio Fi4eff;30;1
1;Nahuel Guzman;30;1
2;Cristian Lema;30;1
2;Jonathan Hereñu;30;1
3;Hernan Villalba;30;1
4;Santiago Fernandez;30;1
1;Pablo Santillo;38;1
2;Roberto Ayala;38;2
2;Nicolás Sainz;38;1
1;José Luis Martínez Gullota;38;1
3;Claudio Yacob;38;2
2;Lucas Aveldaño;38;1
4;Pablo Lugüercio;38;2
3;Martin Wagner;38;1
4;Pablo Caballero;38;1
4;Gabriel Hauche;38;2
3;Sebastián Grazzini;38;2
1;Mauro Dobler;38;1
3;Marcos Brítez Ojeda;38;1
4;Juan Ignacio Sánchez Sotelo;38;1
4;Claudio Bieler;38;3
2;Cristian Tavio;38;1
3;Adrián Lucero;38;1
4;Damián Steinert;38;1
4;Juan Carlos Falcón;38;2
1;Jorge De Olivera;38;1
2;Gabriel Mercado;38;2
3;Brian Lluy;38;1
3;Damián Ledesma;38;1
3;Sebastián Rosano;38;1
4;Lucas Castromán;38;2
2;Matías Cahais;38;1
2;Marcos Cáceres;38;1
3;Gonzalo Pérez;38;1
4;Valentín Viola;38;1
3;Luis Fariña;38;1
4;Santiago Malano;38;1
2;Lucas Licht;38;2
2;Matías Martínez;38;2
4;Ignacio Colombini;38;1
3;Bruno Zuculini;38;1
