APELLIDO;NOMBRE;CLUB;POSICION;VALOR
Ftacla; Diego;Tigre;DEL;600000
Fuentes; Diego;All Boys;DEF;300000
Fuertes; Esteban;Colón;DEL;8400000
Furch; Julio;Olimpo;DEL;2700000
Gabbarini; Adrián;Independiente;ARQ;4000000
Gaitán; Walter;Rafaela;VOL;4700000
Galarza; Marcos;San Martín SJ;DEF;1900000
Galeano; Leonel;Independiente;DEF;4300000
Galmarini; Martín;Tigre;VOL;3300000
Galván; Diego;Estudiantes;VOL;3700000
Gandín; Darío;Rafaela;DEL;4800000
Gaona Lugo; Orlando;Boca;DEL;1000000
Garcé; Ariel;Colón;DEF;4200000
García; Diego;San Martín SJ;DEL;2000000
García; Gonzalo;Racing;DEF;2000000
García; Javier;Tigre;ARQ;3700000
García; Zelmar;Godoy Cruz;DEF;2900000
Gerlo; Danilo;Arsenal;DEF;3800000
Gigliotti; Emmanuel;San Lorenzo;DEL;4500000
Giménez; Matías;Boca;VOL;3500000
Gissi; Dylan;Estudiantes;DEF;400000
Godoy; Fernando;Independiente;VOL;2000000
Goltz; Paolo Duval;Lanús;DEF;4900000
Gómez; Jonatan;Banfield;VOL;4000000
González; Adrián;Arsenal;DEF;4000000
González; Cristian;Newell's;DEL;400000
González; Diego;Lanús;VOL;2300000
González; Esteban;Belgrano;VOL;4500000
González; Federico;Rafaela;DEL;3700000
González; Fernando;Belgrano;DEF;900000
González; Leandro;Colón;DEL;3000000
González; Mariano ;Estudiantes;VOL;5900000
González; Sebastián;San Lorenzo;VOL;2500000
Grabinski; Cristian;San Martín SJ;DEF;3500000
Gracián; Leandro;Boca;VOL;4000000
Graciani; Gabriel;Colón;VOL;1000000
Graf; Claudio;San Martín SJ;DEL;3500000
Grana; Hernán;Belgrano;DEF;3300000
Grassi; Franco;Banfield;ARQ;300000
Guillermo Rojas; Julián;Banfield;VOL;600000
Guruceaga; Gastón;Newell's;DEF;600000
Gutiérrez; Fernando;San Lorenzo;VOL;600000
Gutiérrez; Teófilo;Racing;DEL;7900000
Guzmán; Nahuel;Newell's;ARQ;1000000
Hauche; Gabriel;Racing;DEL;7300000
Henneberg; Carlos;Lanús;DEL;300000
Heredia; Juan Pablo;Belgrano;ARQ;500000
Hernández; Emilio;Argentinos;VOL;3300000
Hernández; Pablo;Argentinos;VOL;2800000
Higuaín; Federico;Colón;DEL;4500000
Hoyos; Lucas;Newell's;ARQ;600000
Hoyos; Michael;Estudiantes;VOL;2800000
Hurtado; Jefferson;Argentinos;DEF;2500000
Ibáñez; Matías;Olimpo;ARQ;1500000
Ibáñez; Nelson;Godoy Cruz;ARQ;3900000
Iberbia; Raúl;Estudiantes;DEF;3200000
Imbert; Juan Martín;Boca;DEL;400000
Insaurralde; Juan Manuel;Boca;DEF;5000000
Iriarte; Hugo;Rafaela;DEF;2000000
Islas; Daniel;Tigre;ARQ;4300000
Itabel; Kevin Fabián;Tigre;VOL;500000
Izquierdoz; Carlos;Lanús;DEF;3000000
Jara; Leonardo;Estudiantes;VOL;1400000
Jerez; Pablo;Olimpo;DEF;2800000
Juárez; Iván;Rafaela;VOL;3100000
Kalinski; Enzo;San Lorenzo;VOL;3700000
Kruspzky; Lucas;Independiente;DEF;800000
Kummer; Luciano;Colón;DEF;500000
Laba; Matías;Argentinos;VOL;2200000
Ladino; Santiago;Banfield;DEF;2500000
Lagrutta; Luis;Rafaela;VOL;1300000
Lamanna; César;San Lorenzo;DEL;1900000
Lanaro; Franco;Tigre;DEL;400000
Landa; Lucas;San Martín SJ;DEF;2100000
Laso; Joaquín;Tigre;DEF;300000
Laso; Maximiliano;Banfield;VOL;2700000
Ledesma; Cristian;Colón;VOL;4000000
Ledesma; Eduardo;Lanús;VOL;3700000
Leguizamón; Leandro;Tigre;DEL;1200000
Leguizamón; Luciano;Arsenal;DEL;4900000
Lema; Cristian;Tigre;DEF;1700000
Lembo; Alejandro;Belgrano;DEF;3400000
Leone; Ramiro;Tigre;VOL;3900000
Lesman; Germán;Colón;DEL;1600000
Leyenda; Bernardo;All Boys;ARQ;1500000
Licht; Lucas;Racing;DEF;4300000
Lima; Pablo;Colón;DEF;3800000
Limia; Alejandro;Unión;ARQ;3300000
Litre; Marcos;Olimpo;DEL;1300000
Lluy; Braian;Racing;DEF;2500000
Lollo; Luciano;Belgrano;DEF;2800000
López; Hernán Rodrigo;Banfield;DEL;4800000
López; Lisandro;Arsenal;DEF;5600000
López; Nicolás;Rafaela;DEL;2700000
López; Sergio;Godoy Cruz;VOL;2000000
López; Víctor;Banfield;DEF;5000000
López; Víctor David;All Boys;VOL;600000
Lucchetti; Cristian;Banfield;ARQ;4600000
Lucero; Adrián;Olimpo;VOL;3000000
Luciatti; Abel;San Lorenzo;DEF;400000
Lugo; Rodrigo;Argentinos;ARQ;300000
Lugüercio; Pablo;Racing;DEL;5200000
Luna; Carlos;Tigre;DEL;5000000
Luna; Sebastián;San Lorenzo;DEF;2800000
Luque; Carlos;Colón;DEL;1800000
Machuca; Alexis;Newell's;DEF;2400000
Maciel; Gerardo;Banfield;VOL;400000
Maggiolo; Ezequiel;Tigre;DEL;4200000
Magnín; Pablo;Unión;DEL;900000
Maidana; Mauro;Unión;DEF;1800000
Maldonado; Juan Carlos;Belgrano;VOL;2700000
Mancinelli; Lucas;Lanús;DEF;1900000
Mancuello; Federico;Belgrano;VOL;3000000
Mansanelli; César;Belgrano;VOL;2800000
Marchesín; Agustín;Lanús;ARQ;4700000
Marcone; Iván;Arsenal;VOL;3200000
Marín; Leandro Lucas;Boca;DEF;600000
Martínez; Adrián;San Lorenzo;DEF;600000
Martínez; Diego;San Lorenzo;DEL;2800000
Martínez; Francisco;All Boys;DEF;600000
Martínez; Juan Manuel;Vélez;DEL;13000000
Martínez; Matías;Racing;DEF;4800000
Martínez; Nicolás;Tigre;DEF;1300000
Martínez; Román;Tigre;VOL;5000000
Mas; Emmanuel;San Martín SJ;DEF;2300000
Mastrolía; Ezequiel;San Lorenzo;ARQ;300000
Mateo; Diego;Newell's;VOL;3800000
Matheu; Carlos;Independiente;DEF;4700000
Matos; Mauro;All Boys;DEL;4500000
Mattia; Francisco;San Martín SJ;DEF;1500000
Mauri; Juan Alberto;Olimpo;VOL;700000
Melano; Lucas;Belgrano;DEL;300000
Méndez; Gabriel;San Lorenzo;DEL;3300000
Méndez; Jesús;Boca;VOL;3000000
Menéndez; Gonzalo;Arsenal;DEF;800000
Menossi; Lucas;Tigre;VOL;400000
Menseguez; Juan Carlos;San Lorenzo;DEL;5000000
Mercado; Gabriel;Estudiantes;DEF;5900000
Meza; Fernando;San Lorenzo;DEF;2900000
Migliore; Pablo;San Lorenzo;ARQ;5000000
Miguez; Pablo;Unión;VOL;2800000
Milito; Gabriel;Independiente;DEF;5800000
Millán; Nicolás;Tigre;DEL;1000000
Miranda; Pablo;Godoy Cruz;DEL;1800000
Montero; Fausto;Unión;VOL;3000000
Montero; Maximiliano;Tigre;DEF;2300000
Montoya; Marcelo;Vélez;ARQ;4100000
Morales; Diego;Tigre;VOL;5100000
Morales; Juan José;Argentinos;DEL;3000000
Moreno y Fabianesi; Iván;Colón;VOL;5500000
Moreno; Emanuel;Unión;VOL;1000000
Moreno; Giovanni;Racing;VOL;9300000
Mosca; Claudio;Arsenal;VOL;3000000
Mouche; Pablo;Boca;DEL;5200000
Moyano; Gabriel Oscar;Godoy Cruz;VOL;600000
Moyano; Sebastián;Godoy Cruz;ARQ;400000
Mugni; Lucas;Colón;VOL;600000
Musto; Damián;Olimpo;VOL;3000000
Navarro; Alvaro;Godoy Cruz;DEL;3500000
Navarro; Hilario;Independiente;ARQ;6300000
